level,key,class,budget_ms,completed_depth,nodes,nps,nodes_depth_proxy,qsearch_ratio,eval_per_node,movegen_per_node,make_unmake_per_node,pseudo_to_legal_ratio,tt_hit_rate,tt_cutoff_rate,tt_depth_reject_per_hit,tt_bound_reject_per_eligible_hit,tt_cutoff_per_eligible_hit,tt_store_per_probe,lmr_research_rate,null_research_rate,aspiration_retry_per_iter,futility_pruned,qsearch_see_prune_rate,aborted_iteration_depth,completed_iteration_growth
position,mid_07,normal_middlegame,1000,6.0,127736.0,130341.0,7.096631,0.747081469335377,0.9323635160140207,2.4161630237364564,131.8031565103025,1.117657131903027,0.22023824838551986,0.0023413178274628863,0.8246495327102804,0.9393737508327782,0.060626249167221855,0.9967453109321532,0.0,0.7530864197530864,0.3333333333333333,252443.0,0.40493739167058135,7.0,8.92951221110571
position,mid_07,normal_middlegame,3000,7.0,370323.0,125959.0,6.244699,0.7297494349527305,0.9438139137995749,2.380664987051844,125.33197775995549,1.110286447021506,0.19544140159891138,0.0010067900865655586,0.7983910803754146,0.9744487224361218,0.025551277563878195,0.9976111455560013,0.0,0.8357348703170029,0.2857142857142857,687257.0,0.35680545172858363,8.0,8.92951221110571
position,mid_08,normal_middlegame,500,7.0,64581.0,131796.0,4.86584,0.7284650284139298,0.8281383069323794,2.3548412071661944,131.18847650219232,1.2285152523750307,0.2086054866100588,0.011301103266850993,0.4684963277928102,0.8979393939393939,0.10206060606060606,0.9855582100770408,0.0,0.7304964539007093,0.8571428571428571,89575.0,0.4683856423262531,8.0,10.684815866111254
position,mid_08,normal_middlegame,1000,7.0,94408.0,96334.0,5.137071,0.7488405506196055,0.8400329611122263,2.379485933422779,129.22832810778746,1.234717478514145,0.2343589839163576,0.00799522895428369,0.48111332007952284,0.9342528735632184,0.06574712643678161,0.9886302313031504,0.0,0.7731481481481481,0.8571428571428571,113904.0,0.4554222648752399,8.0,10.684815866111254
position,mid_08,normal_middlegame,3000,8.0,333498.0,119924.0,4.902151,0.6961750895057841,0.8913966500548729,2.265521832214886,126.3364278046645,1.1564922688172108,0.14724785485544684,0.0025719418439874584,0.7510703595650362,0.9298325722983257,0.07016742770167428,0.991263208399817,0.0,0.9196652719665271,0.75,395769.0,0.3244440780660718,0.0,10.684815866111254
position,opening_01,opening,500,6.0,83490.0,170386.0,6.61108,0.7768714816145647,0.972691340280273,2.9592645825847406,102.97870403641154,1.1924166714388569,0.22970763201669064,0.0020158448222391385,0.8958576250383553,0.9157336476134355,0.08426635238656452,0.9976740252051087,0.07407407407407407,0.5217391304347826,0.5,2264.0,0.33534320323014805,7.0,7.437064527714593
position,opening_01,opening,1000,6.0,119921.0,122367.0,7.022351,0.8132687352507068,0.974350168284091,2.9632994583118686,108.22329415070482,1.1624769971026823,0.16651389286737325,0.0013654158311849518,0.9026893743907334,0.9157336476134355,0.08426635238656452,0.9984245201947866,0.07407407407407407,0.41379310344827586,0.5,5618.0,0.342895097347337,7.0,7.437064527714593
position,opening_01,opening,3000,7.0,366911.0,138516.0,6.236447,0.8458727048248758,0.9791993153653066,3.044651155184772,113.751531025235,1.1674638107264879,0.1266301398107355,0.0006428079793088601,0.7075641117735795,0.9826414476377631,0.017358552362236962,0.999254100174953,0.07258064516129033,0.38271604938271603,0.42857142857142855,65725.0,0.3102913637919578,0.0,7.437064527714593
position,opening_02,opening,500,5.0,75918.0,154932.0,9.463874,0.8110197845043337,0.936385046425381,2.7501150483202945,115.1095128954925,1.1695104407450563,0.20990966044789033,0.0035305112318715173,0.8566246186824965,0.882691201840138,0.11730879815986199,0.9963137309196636,0.125,0.1,0.6,7224.0,0.41385298089909317,6.0,3.7873333582284627
position,opening_02,opening,1000,5.0,119674.0,122116.0,10.365732,0.7845563781606698,0.9293173954073608,2.7145486001887384,112.25287029764193,1.2066344588816929,0.250212904956894,0.002379869107199104,0.9189201790376725,0.882691201840138,0.11730879815986199,0.9973868103920951,0.125,0.4166666666666667,0.6,8669.0,0.39431136105553455,6.0,3.7873333582284627
position,opening_02,opening,3000,6.0,382959.0,130258.0,8.521683,0.8239080423752935,0.9459367712992774,2.7833606208497517,121.32585994845401,1.1407807347291747,0.15490861049391105,0.0006763740032175175,0.9433608095976496,0.9229106628242075,0.07708933717579251,0.9992351284636513,0.06779661016949153,0.2903225806451613,0.5,277011.0,0.37133262392725364,7.0,3.7873333582284627
position,opening_03,opening,500,5.0,76432.0,155981.0,9.476654,0.797506280092108,0.9333263554532133,2.8087188612099645,112.41135549731754,1.2084787565969155,0.22740459718812764,0.0033131340875148063,0.8981656224050728,0.8569310600444774,0.1430689399555226,0.996549533929583,0.375,0.0,0.6,6301.0,0.4525278662420382,6.0,3.75646800041898
position,opening_03,opening,1000,5.0,118396.0,120811.0,10.343497,0.7603637356470035,0.9379253097681819,2.773573431534849,110.56696440151836,1.217107309903206,0.2600841769992037,0.002195427141394608,0.9409989503149055,0.8569310600444774,0.1430689399555226,0.997679444886816,0.375,0.08,0.6,7579.0,0.4321532621170654,6.0,3.75646800041898
position,opening_03,opening,3000,6.0,401226.0,136470.0,8.588121,0.8409599577295589,0.9577943602857243,2.9201921111792357,120.93723736746871,1.1630437557978268,0.13147561931867685,0.0009583829465919321,0.9547392370391642,0.8389458272327965,0.16105417276720352,0.9990009583829466,0.09895833333333333,0.05555555555555555,0.6666666666666666,176255.0,0.3965238218539617,7.0,3.75646800041898
position,opening_04,opening,500,5.0,70328.0,143525.0,9.320209,0.8468604254351041,0.9171738141280855,2.5423398289041037,115.95293481970197,1.1722817140201478,0.21320114541473156,0.0035854368698414224,0.6936794582392777,0.945099484156227,0.05490051584377303,0.9961739297831893,0.037037037037037035,0.75,0.2,16502.0,0.45180592081453425,6.0,7.542214232581205
position,opening_04,opening,1000,5.0,110146.0,112392.0,10.195153,0.8333030704701033,0.9235534875705484,2.5121747498774356,112.73397127449022,1.1725610455379094,0.21393690162565057,0.00239349739767397,0.7962156479951945,0.945099484156227,0.05490051584377303,0.9972691640429223,0.037037037037037035,0.8461538461538461,0.2,18194.0,0.4706547072533371,6.0,7.542214232581205
position,opening_04,opening,3000,6.0,338664.0,115190.0,8.348879,0.8217256525224569,0.9029126213592233,2.5157501240167246,118.00561618595422,1.2144548854212567,0.18845214919192857,0.001848933386895749,0.5570768768276352,0.9778490775590795,0.022150922440920588,0.997888404767055,0.025889967637540454,0.6617647058823529,0.16666666666666666,129765.0,0.41947967176426704,7.0,7.542214232581205
position,opening_05,opening,500,5.0,75026.0,153111.0,9.44153,0.8696965784377018,0.8249140298030017,2.4907098872390905,120.52645749473515,1.3251526146466328,0.24745654938533276,0.0074147049673338175,0.6449017969076473,0.9158576051779935,0.08414239482200647,0.9923778906979156,0.008064516129032258,0.0,0.2,24685.0,0.4891483117804508,6.0,5.662366396623324
position,opening_05,opening,1000,5.0,117948.0,120354.0,10.335658,0.8632094138930841,0.8285261301590532,2.4700037304574898,116.72852443449656,1.3363002061562521,0.22095819946981268,0.005020979266515686,0.7299380263785158,0.9158576051779935,0.08414239482200647,0.9947332385316269,0.008064516129032258,0.5,0.2,26990.0,0.47912251289026664,6.0,5.662366396623324
